year,award,tier,title,author,organization,link,broken,image,alt,comment
2018,pay,honorable mention,The Early Bell - When School Choice Means Crossing Town,"<a href=https://twitter.com/kblagg>Kristin Blagg</a>, <a href=https://twitter.com/chingos>Matthew Chingos</a>, <a href=https://twitter.com/elizmforney?lang=en>Elizabeth Forney</a>, Mal Jones, <a href=https://twitter.com/emily_peiffer>Emily Peiffer</a>, <a href=https://www.linkedin.com/in/lydiajthompson/>Lydia Thompson</a>, <a href=https://www.linkedin.com/in/atilsley/>Alexandra Tilsley</a>, & <a href=https://twitter.com/DanielPWWood>Daniel Wood</a>
",<a href=https://www.urban.org/>Urban Institute</a>,https://apps.urban.org/features/school-transportation/,,,,
2018,pay,honorable mention,How A Booming Population And Climate Change Made California’s Wildfires Worse Than Ever,<a href=https://twitter.com/paldhous>Peter Aldhous</a>,<a href=https://www.buzzfeednews.com/>Buzzfeed News</a>,https://www.buzzfeednews.com/article/peteraldhous/california-wildfires-people-climate,,,,
2018,pay,honorable mention,Radmesser,,<a href=https://www.tagesspiegel.de/>Tagesspiegel</a>,https://interaktiv.tagesspiegel.de/radmesser/,,,,
2018,pay,honorable mention,"Strong Men, Caring Women","<a href=https://www.linkedin.com/in/kristidwalker>Kristi Walker</a>, <a href=https://twitter.com/kebialik>Kristen Bialik</a>, & <a href=https://pvankessel.com/>Patrick van Kessel</a>",<a href=https://www.pewresearch.org/>Pew Research Center</a>,https://www.pewresearch.org/social-trends/interactives/strong-men-caring-women/,,,,
2018,pay,honorable mention,What Life Would Look Like Without the ‘Tampon Tax’,<a href=https://twitter.com/hannah_recht>Hannah Recht</a>,<a href=https://www.bloomberg.com/>Bloomberg</a>,https://www.bloomberg.com/graphics/2018-tampon-cost/,,,,
2018,pay,honorable mention,America is more diverse than ever — but still segregated,<a href=https://twitter.com/aboutaaron>Aaron Williams</a> & <a href=https://twitter.com/emamd>Armand Emamdjomeh</a>,<a href=https://www.washingtonpost.com/>Washington Post</a>,https://www.washingtonpost.com/graphics/2018/national/segregation-us-cities/,,,,
2018,pay,honorable mention,Spring is springing earlier and earlier,<a href=https://twitter.com/tierneyl>Lauren Tierney</a>,<a href=https://www.washingtonpost.com/>Washington Post</a>,https://www.washingtonpost.com/graphics/2018/national/early-spring/,,,,
2017,staff picks,winner,Here’s every total solar eclipse happening in your lifetime. Is this year your best chance?,<a href=https://twitter.com/DeniseDSLu>Denise Lu</a>,<a href=https://www.washingtonpost.com/>Washington Post</a>,https://www.washingtonpost.com/graphics/national/eclipse/,,eclipse.jpg,"a map of the united states with eclipse paths traced overtop. eclipses from the past 100 years are in line brown. eclipses in the next 100 years are light purple. an eclipse that went from portland, oregon to charleston, south carolina in 2017 is highlighted in orange.","The eclipse was major news this year. While we seemed to be approaching the saturation point, Denise released this elegant and informational story that eclipsed the rest. There was nothing not to like here; from setting the tone with a browser eclipse, to hooking the reader by contextualizing it from their age perspective. She packed a ton of information and visuals into a tidy presentation."
2017,staff picks,winner,"How do you draw a circle? We analyzed 100,000 drawings to show how culture shapes our instincts",<a href=https://www.thuhuongha.com/>Thu-Huong Ha</a> & <a href=https://twitter.com/nkl>Nikhil Sonnad</a>,<a href=https://qz.com/>Quartz</a>,https://qz.com/994486/the-way-you-draw-circles-says-a-lot-about-you,,circle.jpg,overlapping tracings of what direction people went to draw circles. couter clockwise is displayed in pink and clockwise is displayed in blue. people in the united states drew counter clockwise more and people in japan drew clockwise more.,"It’s always impressive when someone can find cultural insights reflected in what seems to be a relatively simple data set. When Nikhil and Thu-Huong analyzed one hundred thousand drawings and broke them out by country, they found deep links between the culture’s dominant alphabet and the way they drew simple shapes. By crisply overlaying the shapes from each country over one another, the visualization presents the claim in a clean, simple manner. And by pairing each insight with diagrams of the various alphabets, they make a thoroughly convincing case."
2017,staff picks,winner,Land Lines,<a href=https://twitter.com/zachlieberman>Zach Lieberman</a> & <a href=https://twitter.com/mattfelsen>Matt Felsen</a>,with <a href=https://github.com/dataarts>Google Data Arts Team</a>,https://lines.chromeexperiments.com/,,land.jpg,three pictures take from google maps overhead view showing 3 different coastlines. the photos are aligned so that the coastlines combine to make one long line.,"In a project that blends art and code, the authors created a beautiful experience that maps hand-drawn lines to shapes found in Google Earth satellite imagery. The whole project makes readers see beauty in the outlines of rarely appreciated objects, such as swimming pools, mining sites, or airfields."
2017,staff picks,winner,Trump’s Lies,<a href=https://twitter.com/dleonhardt>David Leonhardt</a> & <a href=https://twitter.com/stuartathompson>Stuart Thompson</a>,<a href=https://www.nytimes.com/>New York Times</a>,https://www.nytimes.com/interactive/2017/06/23/opinion/trumps-lies.html,,trumplies.jpg,a wall of text (black on a white background) organized by date that catelogues all of donald trump's lies.,"Visualizing text is always difficult, but David and Stuart’s piece did so beautifully, illustrating, through a dated and fact-checked wall of text, President Trump’s dishonest pronouncements since his inauguration this January. The visualization is simple, explorable, and piercingly effective at demonstrating an avalanche of inaccuracies that have been emanating from the White House."
2017,staff picks,winner,Cracking the Mystery of Egg Shape,<a href=http://sarahcrespi.info/about.html>Sarah Crespi</a> & <a href=https://www.linkedin.com/in/jia-you>Jia You</a>,<a href=https://www.science.org/>Science</a>,https://vis.sciencemag.org/eggs/,,egg.jpg,an orange packed circle diagram that groups over 1400 species of eggs by similar shape.,"What’s the deal with eggs, anyway? Sarah Crespi and Jia You took readers on a beautifully visualized and illustrated tour of why they’re shaped precisely the way they are. Through video, gifs, and charts, and illustrations, the pair explained how studying 50,000 eggs helped scientists understand the relationship between egg length and bird size, as well as link between egg shape and different bird flying habits."
2017,staff picks,winner,Can we talk about the gender pay gap?,<a href=https://twitter.com/xocasgv>Xaquín G.V.</a>,<a href=https://www.washingtonpost.com/>Washington Post</a>,https://www.washingtonpost.com/graphics/2017/business/women-pay-gap/,,gendergap.jpg,"a conneted scatterplot that shows the gender pay gap. the number of men per profession are represented by a proportional yellow circle. the number of women per profession are represented by a proportional purple cirle. these two circles are connected a magenta line that represented the pay gap. jobs with more women are toward the left and jobs with more men are toward the right. the gender pay gap for pharmacists is $2.70 per hour, for lawyers and other judicial workers it is $9.93 per hour, and for dentists it is $16.97 per hour.","The gender pay gap has been visualized many times. But what’s unique about Xaquín’s approach is the use of a clever hook, “The median salary for women working full-time is about 80 percent of men’s. That gap, put in other terms, means women are working for free 10 weeks a year.” He then uses hand-drawn visuals and graphics to nail this point: time-spent working for free. The rest of the essay then proceeds to debunk commonly held myths, with superb visuals that allow for exploration."
